nazev_dilu_PC;mp3_link;jmeno_mp3;znacka_zapisu_do_historie
Prostor X;https://agmipnyy.captain.vpplayer.net/audio-encode/bbgjrckhp/mp3/192kbps.mp3;192kbps;1
U Kulatého Stolu;https://d3ctxlq1ktw2nl.cloudfront.net/staging/2025-6-15/58a618e2-e4d7-404d-174d-f8e37b127971.mp3;1;0
Vyhonit Ďábla;https://d3ctxlq1ktw2nl.cloudfront.net/staging/2025-6-27/e9490293-b5ca-fe6b-7905-163c0c68aed9.mp3;2;0
Off-line Štěpána Křečka;https://content.libsyn.com/p/3/7/5/375d883dbc5d2985/Martin_Koenek_-_Zskat_200_byt_je_o_dobrm_plnovn_cashflow_OFFLINE_tpna_Keka.mp3?c_id=190881970&cs_id=190881970&destination_id=1270943&response-content-type=audio%2Fmpeg&Expires=1754265592&Signature=IDpLVsvw0pypzSUrbopfirbftbbeIs1P-5-vRAG7ZwbY2NveTSeu6AQS7MFi-ZaVqUulp4mrDieykSn5xOayMsf6Z0fO4gwQZ6LrAqYwaFG92TUgJ4fj4Nz80wSKiPcbxsm34z48RSqL7h0twv6Db7ez5GqUfm8QPMu8KciOWno7zsMOcPqknds1zuW6WYZn8b4MNIAl8VvThwf5y6rjtkcVIRiRWxqR3fcy2sRAVmxPeu1VDmzxW0TJA0Bk8vqXgv2uJjxHu3lJngsj8QiugtiOYsng0GJ~0-Qu7T1cWcr~IP9sZRrkXiwyOYS1pjw0HalQgS8yMNARYP7ub4B5Ow__&Key-Pair-Id=K1YS7LZGUP96OI;3;0
MladyPodnikatel.cz;https://rostecky.cz/wp-content/uploads/2025/07/jirirosteckytomasotava.mp3;4;1
Čestmír Strakatý;https://d3ctxlq1ktw2nl.cloudfront.net/staging/2025-6-23/2fba2f50-7195-2479-94d5-c183809fa244.mp3;5;1
CzechCrunch Podcast;https://d3ctxlq1ktw2nl.cloudfront.net/staging/2025-6-22/404331762-44100-2-32d15e1ffe535.mp3;6;1
Řečí peněz;https://croaod.cz/download/6ee3a222-2215-4d3a-9b29-6824c58ce3ad.mp3;6ee3a222-2215-4d3a-9b29-6824c58ce3ad;1
Svět ve 20 minutách;https://croaod.cz/download/de32b691-2a9c-4490-a7da-f8531b5ebf0f.mp3;de32b691-2a9c-4490-a7da-f8531b5ebf0f;1
Online Plus;https://croaod.cz/download/3f5fa96a-03bb-47ab-bc2a-1352299f89c3.mp3;3f5fa96a-03bb-47ab-bc2a-1352299f89c3;1
Ve vatě;https://audio.transistor.fm/m/shows/25379/dai/df2b6f4171e4206ec33fe245ae57cd18.mp3;10;1
Ptám se já, Marie Bastlová;https://audio.transistor.fm/m/shows/17591/600959e6bffc74d482fd3ecd5bd9f921.mp3;11;1
5:59;https://audio.transistor.fm/m/shows/29546/dai/1855870250d5d39f82d28fdd7f138311.mp3;12;1
Studio N;https://s319.podbean.com/pb/708365488b5e3a4d6ecdae64d5932651/688f65a6/data1/fs95/5769105/uploads/KOPECNY_youtube_1.mp3?pbss=a40850eb-4f17-553c-8d51-fea495ad023f;13;1
Patria Podcasts;https://feeds.soundcloud.com/stream/2136314076-patria-podcasts-traders-talk-alphabet-zari-tesla-zklamala-a-31-akcie-ktere-ted-sledovat.mp3;14;1
Reflex - Padni komu padni;https://agmipnyy.captain.vpplayer.net/audio-encode/bbgjrcikr/mp3/128kbps.mp3;128kbps;1
Respekt;https://d3ctxlq1ktw2nl.cloudfront.net/staging/2025-7-1/95ba43b8-fa1b-f2f4-65a4-c52f92722499.mp3;16;1
Podcasty HN;https://d1bxy2pveef3fq.cloudfront.net/episodes/original/51132697?session_id=0d4228a8-fee8-570f-a284-b9a142571997&ab=128&al=436401&ao=417&cc=NYNNNNYYYY&ct=DOWNLOAD&episode_id=67211376&show_id=4194705&user_id=11902032&organization_id=8762617&tenant=SPREAKER&timestamp=1754264200&ppi=a8b45d4b-4784-5fac-9ed0-b8a6011d94ae&epi=d8ab8c25-3ed2-5c56-bf2f-62b84e8449ad&media_type=static&Expires=1754350600&Key-Pair-Id=K1J2BR3INU6RYD&Signature=WP0qqulXgiZvDBNPbGyM0hdgqwHZjD3TBDTY~69zx7Sqx8K-f5Eoy58oFDJEivXi1MUKBGsAk5FlC9zpE9pNTlSuKqudgd9UH1YSB0qmGJNug25Acnp6TIZSOswoJgKW9VyiCyCzoFmV~PBMMY1YsGu-j1HQb5NhS16D5ZUc18RbChuN9fvXlbOawErn~fIGmduGqVHDT7mhnS97wZsW5kYbHYBEQuxvC4hA2W4j~PRY~fXIqC99sorIwPQtmpJYX4ZnmytkQ9MzQjGMuGcTnxG5YsR7F-QJk4630RSsuzp4UtiW4PcPyTNDvEfQbfrVPaNlOeflenlzbKKVxbzDFA__;17;1
Spotlight;https://d1bxy2pveef3fq.cloudfront.net/episodes/high/51101928.mp3?session_id=a1596c2b-c112-5d40-b94f-97ec31d29655&ab=128&al=1816528&ao=565&cc=NYNNNNYYYY&ct=DOWNLOAD&episode_id=67175582&show_id=5781875&user_id=16977435&organization_id=11961496&tenant=SPREAKER&timestamp=1754264209&ppi=8af88cd8-aaa3-5154-976c-8092e13e0159&epi=dae87e44-b92a-59b3-ac7b-de62e0a67701&media_type=static&Expires=1754350609&Key-Pair-Id=K1J2BR3INU6RYD&Signature=dqN3Qt0EKjsjmL62h9lukooYLrPJff1ikE2FBNUPbEHjo63e0NGfEcgnc7HuiooNR63nAopCEwB1B2-IEgciCwVeY3LLRJOZtEEwr9UA7-2QYrWitADK5RiF1FCyJ3QIHhaBW2kfNDgGsl3YJwxGbgyaOu5Mnw3kyh0zMcrn3p4N2K-XC3TwKTRG3mgw9UzXy4SLD7ATFCBcnv4VTd6N0RRn6vjFMPWk9H8YupxdUWEETaAIVa7N68YlCAcznb55h19VzUTWTJXPhj4eqGbHQ-ibPwIQLYDHzS7e32XEfHGxpAMtrGKuNSrHR5vsOxzDja5z9c5rCCqqrmZmOIWDtg__;18;1
